Timestamp,What is your age?,What is your gender?,What is your occupation?,Are you a...?,How did you purchase your tickets?,What type of ticket did you purchase?,Did you purchase your tickets for any special event (e.g. Halloween Horror Night)?,How would you rate the ease of purchasing tickets?,What type of visitor are you?,What are your preferred attraction(s)? Select all that apply.,What month did you visit USS?,Which day did you visit USS?,How would you rate your arriving experience?,How long did you queue at the entrance before entering USS? (e.g. get through security and ticket scanning),Were staff at the entrance helpful and courteous?,"Which attraction(s) did you visit? (Select all that apply)
* includes meet-and-greets, theatre shows etc.",How would you rate the wait time for the attractions you visited?,Did you use an Express Pass?,"If your answer was ""yes"", how satisfied were you with the value of the Express Pass?",How satisfied are you with the service of the staff at the attractions?,How satisfied were you with the overall experience of the attractions?,What could have made your ride experience better?,Did you purchase from any of the shopping outlets during your visit?,Which store(s) did you visit? (Select all that apply),How much did you approximately spend on merchandise?,Was the pricing reasonable for the quality and trademark of the merchandises?,How would you rate the variety of merchandises?,Did you dine in or purchased from any of the food outlets during your visit?,"If your answer was ""Yes"" above, which food outlet(s) did you visit? (Select all that apply)",How would you rate the variety of food options available?,How would you rate the overall food quality?,Do you agree that the pricing is reasonable for the food quality?,How much did you approximately spend on food?,How long did you wait to get served at the food outlet?,"Did you encounter any issues during your visit, and were they resolved to your satisfaction?","How satisfied are you with the overall service of the staff? (e.g. friendliness, helpfulness)","How would you rate the cleanliness of the park facilities (e.g. restrooms, common areas)?",Did you find enough seating areas throughout the park?,How satisfied were you with the accessibility of restrooms throughout the park?,What could be improved about the park’s facilities?,"Overall, how satisfied were you with your visit to Universal Studios Singapore?",Which aspect of your visit was the most disappointing? (Select all that apply),Are you likely to return to the park in the future?,Would you recommend Universal Studios Singapore to a friend or family member?,What could Universal Studios Singapore improve to make your visit better? 
06/10/2024 18:00:00,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",Regular ticket with Express Pass,No,4,Group,"Thrill Rides, Shows",Jan - Mar,Weekdays,3,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,Yes,3,4,3,NIL,No,"[The Lost World] The Dino-Store, [Far Far Away] Fairy Godmother's Potion Shop",NA,2,3,Yes,[Hollywood] Mel's Drive-In,3,3,2,$20 - $30,> 10 mins,No issues,4,4,Yes,4,Install more water coolers given Singapore’s humid climate ,4,"Long wait times, Overcrowded attractions",Maybe,Yes,NIL
06/10/2024 18:09:47,18 - 25,Female,Employed,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,5,10 - 20 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",5,No,,5,5,Everything was gd,No,NA,NA,3,3,No,NA,5,3,2,NA,NA,No issues,5,5,Yes,5,Na,5,None,Yes,Yes,Na
06/10/2024 18:26:43,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,Thrill Rides,Jul - Sep,Weekdays,5,< 5 mins,Not Applicable,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure",2,No,,3,5,Shorter waiting times,Yes,"[Hollywood] Universal Studios Store, [Hollywood] Minion Mart, [Hollywood] Hello Kitty Studio Store, [Hollywood] Candylicious, [Far Far Away] Fairy Godmother's Potion Shop",NA,4,5,Yes,[The Lost World] Discovery Food Court,3,4,2,$20 - $30,5 - 10 mins,No issues,3,3,No,2,More benches and shades around the park,4,"Long wait times, Poor weather conditions, Overcrowded attractions",Yes,Yes,Better crowd management. Live queue to see how crowded rides are
06/10/2024 19:23:49,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,3,Group,"Thrill Rides, Shows",Oct - Dec,Weekdays,4,10 - 20 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Donkey Live, [Far Far Away] Shrek 4-D Adventure",2,No,,4,4,shorter waiting times,No,NA,NA,2,3,No,NA,3,3,2,NA,NA,No issues,4,4,Yes,4,na,4,Long wait times,Yes,Yes,na
06/10/2024 20:15:35,18 - 25,Male,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,5,Group,"Thrill Rides, Shows",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",4,No,,4,4,maybe put aircon for some waiting/queuing areas,No,NA,NA,2,4,No,NA,2,3,2,NA,NA,No issues,4,4,No,4,"sheltered areas, aircon etc.",3,"Long wait times, Overcrowded attractions",Maybe,Yes,as said previously
06/10/2024 21:03:55,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,4,Group,Thrill Rides,Apr - Jun,Weekdays,4,10 - 20 mins,Yes,[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON,2,No,,4,4,Less queue,No,NA,NA,3,4,No,NA,2,2,1,NA,NA,No issues,2,4,Yes,3,na,4,Long wait times,Maybe,Yes,less queues 
06/10/2024 22:20:07,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,Special Events (e.g. Halloween Horror Nights),Oct - Dec,Weekdays,4,5 - 10 mins,Yes,[Far Far Away] Happily Ever After,4,No,,4,4,lesser wait time,No,NA,NA,1,1,No,NA,3,3,3,$10 - $20,5 - 10 mins,No issues,3,4,Yes,4,more accessible ,3,"Long wait times, Limited dining options, Overcrowded attractions",No,No,manage wait times better
06/10/2024 22:34:19,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,3,5 - 10 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy",2,No,,4,3,shorter queues,No,NA,NA,3,4,Yes,[Sci-Fi City] Frozen Fuel,3,3,3,< $10,< 5 mins,No issues,4,3,No,3,more sheltered walkways,4,"Long wait times, Overcrowded attractions",Maybe,Yes,improved queue system
06/10/2024 22:35:01,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Family,"Thrill Rides, Kid-friendly, Shows, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,5,> 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters",4,No,,5,5,faster queue times,Yes,[Hollywood] Universal Studios Store,$20 - $30,2,5,Yes,"[Hollywood] Mel's Drive-In, [Sci-Fi City] Frozen Fuel",5,5,3,$20 - $30,5 - 10 mins,No issues,5,5,No,3,better queue management ,4,"Long wait times, Overcrowded attractions",Maybe,Yes,cheaper dining options and promotion of tickets for occasions
06/10/2024 22:37:33,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,Special Events (e.g. Halloween Horror Nights),Oct - Dec,Weekdays,4,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy",2,No,,4,4,shorter waiting time,Yes,[Hollywood] Universal Studios Store,< $10,4,4,No,NA,2,2,2,< $10,5 - 10 mins,No issues,4,5,No,4,more fans,5,Long wait times,Yes,Yes,shorter waiting times
06/10/2024 22:37:41,18 - 25,Female,Student,Singaporean,parents' company ,One-day regular ticket,No,4,Family,"Thrill Rides, Food and Shopping",Oct - Dec,Weekdays,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,No,,4,4,Shorter queues...,No,[Hollywood] Universal Studios Store,NA,3,4,Yes,[Hollywood] Mel's Drive-In,3,4,2,$10 - $20,> 10 mins,No issues,4,4,No,3,more seats ,4,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,I think creating an app/website where visitors could see the waiting time? (not sure if there is) 
06/10/2024 22:51:57,18 - 25,Male,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,2,Family,"Thrill Rides, Shows",Jan - Mar,Weekdays,5,5 - 10 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Donkey Live",5,No,5,5,5,Lesser wait time ,No,[Hollywood] Universal Studios Store,NA,3,5,Yes,[New York] Loui's NY Pizza Parlour™,5,5,5,$10 - $20,5 - 10 mins,"Yes, issue resolved",5,5,Yes,5,More shelters during rainy season,5,"Long wait times, Poor weather conditions",Yes,Yes,Be less expensive 
07/10/2024 00:21:26,18 - 25,Male,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",3,No,,5,4,NIL,Yes,[Hollywood] Universal Studios Store,$20 - $30,3,4,Yes,"[Hollywood] Mel's Drive-In, [Hollywood] Starbucks, [New York] Loui's NY Pizza Parlour™, [Sci-Fi City] Planet Yen",4,4,3,$10 - $20,5 - 10 mins,No issues,4,5,Yes,4,NIL,5,Long wait times,Yes,Yes,Do QR code scanners and get queue numbers so you don’t have to wait in line 
07/10/2024 10:50:46,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,5,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Donkey Live",5,No,,5,5,shorter waiting times,No,NA,NA,3,5,Yes,[New York] Loui's NY Pizza Parlour™,2,3,2,$20 - $30,> 10 mins,No issues,5,4,No,3,na,5,"Long wait times, Ride breakdowns, Poor weather conditions, Limited dining options, Overcrowded attractions",Yes,Yes,na
07/10/2024 11:43:03,18 - 25,Female,Student,Tourist,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,3,Group,Thrill Rides,Jan - Mar,Weekdays during Public/School Holidays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure",4,No,,3,3,making sure they dont break down,No,[Far Far Away] Fairy Godmother's Potion Shop,NA,2,2,Yes,[New York] Loui's NY Pizza Parlour™,3,3,1,$20 - $30,> 10 mins,No issues,4,4,Yes,4,more fans to cool us off,4,"Ride breakdowns, Poor weather conditions, Overcrowded attractions",Yes,No,na
07/10/2024 14:31:02,26 - 35,Female,Employed,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,5,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",2,No,,4,4,Shorter wait times and more special events,Yes,"[Hollywood] Universal Studios Store, [Hollywood] Minion Mart, [Far Far Away] Fairy Godmother's Potion Shop",$20 - $30,5,4,Yes,"[Hollywood] Starbucks, [The Lost World] Jungle Bites",1,2,1,$10 - $20,> 10 mins,No issues,5,5,Yes,5,More food variety at cheaper price points,4,"Long wait times, Ride breakdowns, Poor weather conditions, Limited dining options, Overcrowded attractions",Yes,Yes,"More special events, merchandise, new items, shorter wait time"
07/10/2024 14:36:25,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,3,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy",2,No,,5,4,shorter queues,No,NA,NA,2,5,No,NA,4,4,2,NA,NA,No issues,5,4,Yes,4,More fans/ air condition,4,"Long wait times, Overcrowded attractions",Yes,Yes,More thrill rides
07/10/2024 14:53:54,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Kid-friendly, Shows",Jul - Sep,Weekdays,5,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",3,No,,4,4,shorter waiting times,No,NA,NA,4,5,No,NA,3,3,3,NA,NA,No issues,5,5,Yes,5,NA,5,"Long wait times, Overcrowded attractions",Maybe,Yes,shorter wait times 
07/10/2024 14:57:35,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,5,Group,"Thrill Rides, Kid-friendly, Shows",Oct - Dec,Weekdays,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Happily Ever After",2,No,,3,4,"Shorter waiting time, more sheltered and cool waiting areas ( some waiting areas are outdoors and exposed to heat) ",No,NA,NA,2,4,Yes,"[Sci-Fi City] Frozen Fuel, [The Lost World] Jungle Bites",2,4,2,< $10,< 5 mins,No issues,4,4,No,3,Not enough seats ,4,"Long wait times, Poor weather conditions, Overcrowded attractions",Maybe,No,Improvements mentioned in previous questions 
07/10/2024 15:00:50,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,4,Group,"Thrill Rides, Kid-friendly, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Happily Ever After",2,No,,3,3,faster queueing times,No,[Hollywood] The Dark Room,NA,4,3,Yes,[Sci-Fi City] Star Dots,3,3,3,$10 - $20,5 - 10 mins,"Yes, issue resolved",4,3,No,3,more resting areas,3,"Long wait times, Ride breakdowns, Poor weather conditions, Overcrowded attractions",Maybe,Yes,shorter waiting time
07/10/2024 15:09:49,18 - 25,Female,Student,Singaporean,Physically at the entrance,One-day regular ticket,No,5,Group,Thrill Rides,Oct - Dec,Weekdays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",2,No,,4,4,Shorter queue time and longer ride,No,NA,NA,2,3,Yes,"[Hollywood] Starbucks, [Sci-Fi City] Frozen Fuel",2,2,2,$10 - $20,5 - 10 mins,No issues,4,4,No,3,NA,4,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,Build new attractions and cheaper ticket price
