Timestamp,What is your age?,What is your gender?,What is your occupation?,Are you a...?,How did you purchase your tickets?,What type of ticket did you purchase?,Did you purchase your tickets for any special event (e.g. Halloween Horror Night)?,How would you rate the ease of purchasing tickets?,What type of visitor are you?,What are your preferred attraction(s)? Select all that apply.,What month did you visit USS?,Which day did you visit USS?,How would you rate your arriving experience?,How long did you queue at the entrance before entering USS? (e.g. get through security and ticket scanning),Were staff at the entrance helpful and courteous?,"Which attraction(s) did you visit? (Select all that apply)
07/10/2024 21:01:38,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Thrill Rides, Kid-friendly, Shows",Jul - Sep,Weekdays,4,5 - 10 mins,Not Applicable,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",4,No,,4,4,"longer rides
",No,"NA, [Hollywood] Minion Mart, [Hollywood] Candylicious, [The Lost World] The Dino-Store, [Far Far Away] Fairy Godmother's Potion Shop",NA,4,4,No,NA,4,3,3,NA,NA,No issues,5,4,Yes,4,"more aircon
",4,Poor weather conditions,Yes,Yes,more shelters
07/10/2024 21:08:51,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Kid-friendly",Jan - Mar,Weekdays,4,< 5 mins,Yes,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [Far Far Away] Happily Ever After",1,No,,3,2,Less queue,No,NA,NA,1,5,No,NA,2,2,2,NA,NA,No issues,4,4,Yes,4,More shelter  while queuing,4,"Long wait times, Overcrowded attractions",No,Yes,Less crowd
07/10/2024 21:15:38,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,Thrill Rides,Jul - Sep,Weekdays,5,< 5 mins,Yes,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Sci-Fi City] Sci-Fi Games, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Shrek 4-D Adventure",1,No,,2,2,More engaging activities in queue,No,NA,NA,2,5,No,NA,2,4,2,NA,NA,No issues,4,4,Yes,4,More sheltered walkways for waiting,4,Long wait times,Maybe,Yes,more engaging things to do during queueing 
07/10/2024 21:17:15,18 - 25,Female,Employed,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,3,Group,"Thrill Rides, Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays during Public/School Holidays,3,< 5 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",2,No,,3,3,shorter queues,No,"NA, [Hollywood] Universal Studios Store, [Sci-Fi City] Transformers Supply Vault",NA,2,3,No,NA,2,2,1,NA,NA,No issues,3,3,Yes,3,nil,3,"Long wait times, Poor weather conditions, Overcrowded attractions",Maybe,Yes,hil
07/10/2024 21:38:45,26 - 35,Female,Employed,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Food and Shopping",Jan - Mar,Weekends,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Puss In Boots' Giant Journey",3,No,3,4,4,Ticket could be cheaper,No,"[Hollywood] Universal Studios Store, [Hollywood] Candylicious, [Far Far Away] Fairy Godmother's Potion Shop",NA,3,3,Yes,"[Hollywood] Starbucks, [Far Far Away] Goldilocks",4,4,2,$20 - $30,5 - 10 mins,No issues,4,4,Yes,4,More fans/aircon as the weather is v hot,4,Poor weather conditions,Maybe,No,NA
07/10/2024 22:17:33,18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays during Public/School Holidays,5,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Puss In Boots' Giant Journey",3,No,,5,4,Shorter queues,Yes,[Hollywood] Minion Mart,> $30,3,5,Yes,"[Hollywood] Starbucks, [Sci-Fi City] Star Dots",5,4,2,< $10,5 - 10 mins,"Yes, issue resolved",5,4,Yes,5,Cleaner toilets,5,"Long wait times, Ride breakdowns, Poor weather conditions, Overcrowded attractions",Yes,Yes,NA
07/10/2024 23:17:43,18 - 25,Female,Student,Tourist,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Kid-friendly, Shows, Food and Shopping",Oct - Dec,Weekends,3,10 - 20 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Happily Ever After",3,No,,4,4,Shorter queue?,Yes,[Hollywood] Universal Studios Store,> $30,3,3,Yes,"[Sci-Fi City] Frozen Fuel, [Sci-Fi City] Starbot Cafe",3,3,2,$20 - $30,> 10 mins,No issues,4,4,No,3,Nothing,4,"Long wait times, Poor weather conditions, Limited dining options, Overcrowded attractions",Yes,Yes,New rides haha? 
08/10/2024 19:42:30,26 - 35,Female,Employed,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey",5,No,,4,4,More entertainment while queuing ,No,NA,NA,2,3,No,NA,2,3,1,NA,NA,No issues,4,4,No,4,More shade,4,Long wait times,Maybe,No,Ok place for tourist but boring when you go a few times
08/10/2024 21:20:09,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Jan - Mar,Weekdays,5,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",4,No,,3,4,-,No,NA,NA,1,4,Yes,[Hollywood] Mel's Drive-In,4,4,1,$10 - $20,5 - 10 mins,No issues,3,4,No,4,-,3,"Long wait times, Ride breakdowns, Poor weather conditions, Unfriendly staff, Overcrowded attractions",Maybe,Yes,-
08/10/2024 21:53:17,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure",3,No,,4,4,lesser wait times,Yes,[Hollywood] Minion Mart,$20 - $30,3,4,No,NA,3,3,3,NA,NA,No issues,4,4,Yes,3,nil,4,Long wait times,Yes,Yes,nil
09/10/2024 02:40:49,18 - 25,Male,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Jan - Mar,Weekdays,4,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld",3,No,,5,5,Upgrades to the equipment; some are dated,No,NA,NA,3,5,Yes,[New York] Loui's NY Pizza Parlour™,4,3,3,$10 - $20,5 - 10 mins,No issues,5,4,Yes,5,-,5,Long wait times,Yes,Yes,Better food options
09/10/2024 11:59:37,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,No,,4,4,"Shorter queues, more interesting themed displays to look at while queueing",Yes,"[Hollywood] Universal Studios Store, [Hollywood] Minion Mart, [Hollywood] Hello Kitty Studio Store, [The Lost World] The Dino-Store, [Far Far Away] Fairy Godmother's Potion Shop",$10 - $20,3,4,Yes,[Hollywood] Mel's Drive-In,3,3,2,< $10,> 10 mins,No issues,4,3,No,4,"More seating areas, larger entrance to the lockers to place belongings ",4,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,"Shorter queue timings, more affordable ticket prices, more events, new attractions"
09/10/2024 12:26:08,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,3,Group,"Thrill Rides, Food and Shopping",Jul - Sep,Weekdays,4,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure",3,No,,5,5,going when there's even less crowd,No,[Hollywood] Universal Studios Store,NA,1,4,Yes,[The Lost World] Jungle Bites,2,4,2,$10 - $20,5 - 10 mins,No issues,5,4,No,3,better directions to the toilet,5,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,further discounted tickets for singaporeans
09/10/2024 13:14:39,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,4,Family,"Thrill Rides, Kid-friendly, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,3,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",1,No,,4,3,NIL,No,NA,NA,2,3,Yes,"[Sci-Fi City] Frozen Fuel, [Ancient Egypt] Oasis Spice Cafe",2,3,3,> $30,5 - 10 mins,No issues,4,4,Yes,4,NIL,3,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,NIL
09/10/2024 15:44:31,18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Kid-friendly, Shows, Special Events (e.g. Halloween Horror Nights)",Jan - Mar,Weekdays during Public/School Holidays,4,5 - 10 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Happily Ever After",2,No,,3,3,Less queues,No,NA,NA,2,3,No,NA,2,3,2,NA,NA,No issues,4,3,Yes,4,More rides,3,"Long wait times, Poor weather conditions, Overcrowded attractions",Maybe,No,More cooling spaces
09/10/2024 17:04:57,18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure",2,No,,4,4,More staff managing locker areas for the queues and money,No,NA,NA,2,5,Yes,"[Hollywood] Mel's Drive-In, [The Lost World] Jungle Bites",2,3,1,$10 - $20,5 - 10 mins,No issues,3,4,Yes,4,-,4,"Long wait times, Limited dining options",Yes,Yes,-
10/10/2024 20:36:20,> 55,Male,Employed,Singaporean,Physically at the entrance,One-day regular ticket,No,2,Family,"Thrill Rides, Food and Shopping",Apr - Jun,Weekends during Public/School Holidays,4,10 - 20 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Dino-Soarin",3,No,,3,2,Shorter queue,Yes,"[Hollywood] Minion Mart, [Sci-Fi City] Transformers Supply Vault",$20 - $30,2,3,Yes,"[Hollywood] Starbucks, [The Lost World] Discovery Food Court, [The Lost World] Fossil Fuels",4,3,2,> $30,5 - 10 mins,No issues,4,2,No,2,More seating areas around the park,4,"Long wait times, Overcrowded attractions",Yes,Yes,NIL
10/10/2024 20:39:23,> 55,Female,Employed,Singaporean,Physically at the entrance,One-day regular ticket,No,4,Family,"Thrill Rides, Kid-friendly, Food and Shopping",Apr - Jun,Weekends during Public/School Holidays,3,10 - 20 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Dino-Soarin",2,No,,4,4,More airconditioned rides ,Yes,"[Hollywood] Minion Mart, [The Lost World] The Dino-Store",$20 - $30,4,4,Yes,"[The Lost World] Discovery Food Court, [The Lost World] Fossil Fuels",4,3,2,$20 - $30,5 - 10 mins,No issues,4,2,No,3,More seating areas,4,"Long wait times, Overcrowded attractions",Yes,Yes,NIL
15/10/2024 20:57:49,36 - 45,Male,Retired,Tourist,"Third Party Vendor (e.g. Klook, Trip.com)",VIP Experience,No,2,Family,Food and Shopping,Apr - Jun,Weekends,2,10 - 20 mins,No,[New York] Sesame Street Spaghetti Chase,2,No,,2,3,nil,No,[Hollywood] Universal Studios Store,NA,2,2,No,[Hollywood] Mel's Drive-In,1,2,1,NA,NA,No issues,1,1,Yes,1,nil,2,None,Yes,Yes,nil
15/10/2024 20:58:09,46 - 55,Male,Retired,Tourist,"Third Party Vendor (e.g. Klook, Trip.com)",Regular ticket with Express Pass,No,1,Solo,"Shows, Food and Shopping",Jul - Sep,Weekdays during Public/School Holidays,1,> 20 mins,Yes,"[Hollywood] Trolls Hug Time Jubilee, [New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Sci-Fi City] Sci-Fi Games, [The Lost World] Dino-Soarin",3,Yes,4,4,4,-,No,NA,NA,3,4,Yes,"[Hollywood] Starbucks, [New York] Me Want Cookie!",4,4,2,$20 - $30,> 10 mins,No issues,4,2,No,2,-,3,"Long wait times, Limited dining options",Maybe,Yes,-
15/10/2024 21:00:02,46 - 55,Male,Retired,Tourist,Physically at the entrance,VIP Experience,Yes,1,Family,Kid-friendly,Apr - Jun,Weekdays during Public/School Holidays,2,5 - 10 mins,No,[Hollywood] Trolls Hug Time Jubilee,3,No,2,3,1,nil,Yes,"NA, [Hollywood] Universal Studios Store, [Sci-Fi City] Transformers Supply Vault",< $10,1,1,No,NA,2,2,1,NA,< 5 mins,No issues,2,1,No,1,nil,2,"Poor weather conditions, Unfriendly staff",Maybe,Yes,nil
15/10/2024 21:01:29,< 18,Male,Student,Tourist,Resort World Sentosa Website,Regular ticket with Express Pass,No,2,Family,Food and Shopping,Jul - Sep,Weekends,2,10 - 20 mins,Not Applicable,"[New York] Lights, Camera, Action!, [Sci-Fi City] Sci-Fi Games",2,No,2,3,2,nil,No,NA,$20 - $30,2,1,No,NA,2,2,2,NA,NA,No issues,2,2,No,2,"nil
",1,"Unfriendly staff, Overcrowded attractions",Maybe,Yes,nil
15/10/2024 21:01:41,> 55,Male,Retired,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",VIP Experience,No,5,Family,Kid-friendly,Oct - Dec,Weekends during Public/School Holidays,1,> 20 mins,Yes,[Hollywood] Trolls Hug Time Jubilee,1,No,,4,2,-,No,NA,NA,3,4,No,NA,1,1,1,NA,NA,No issues,4,2,No,2,-,2,"Long wait times, Poor weather conditions",Maybe,Yes,-
15/10/2024 21:02:25,< 18,Male,Self-employed,Tourist,Resort World Sentosa Website,Regular ticket with Express Pass,Yes,1,Family,"Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays during Public/School Holidays,2,> 20 mins,Not Applicable,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] Sci-Fi Games, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",1,Yes,3,3,4,nil,No,"NA, [Hollywood] Minion Mart",NA,2,1,No,NA,1,1,1,NA,NA,"Yes, issue not resolved",1,1,No,1,nil,1,"Limited dining options, Overcrowded attractions",Maybe,No,nil
15/10/2024 21:04:38,< 18,Male,Student,Tourist,Physically at the entrance,Regular ticket with Express Pass,No,3,Group,"Thrill Rides, Kid-friendly, Shows, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Apr - Jun,Weekends,1,> 20 mins,Not Applicable,"[Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Sci-Fi City] Sci-Fi Games, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin",1,Yes,1,3,2,nil,No,NA,NA,1,1,No,NA,1,1,3,NA,NA,"Yes, issue not resolved",1,1,No,1,nil,2,None,No,No,nil
15/10/2024 21:07:18,< 18,Male,Student,Tourist,"Third Party Vendor (e.g. Klook, Trip.com)",Regular ticket with Express Pass,No,1,Family,"Thrill Rides, Shows, Food and Shopping",Apr - Jun,Weekends,1,10 - 20 mins,Not Applicable,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Donkey Live",1,No,1,1,2,nil,No,NA,NA,1,1,No,NA,1,1,1,NA,NA,"Yes, issue not resolved",1,1,No,1,nil,1,"Ride breakdowns, Poor weather conditions, Unfriendly staff, Overcrowded attractions",Maybe,No,nil