age,gender,occupation,visitor_profile,ticket_purchase_method,ticket_type,special_event_ticket,ticket_purchase_ease,visitor_type,what are your preferred attraction(s)? select all that apply.,visit_month,visit_day,arrival_experience,queue_time_at_entry,entry_staff_service,"which attraction(s) did you visit? (select all that apply)
* includes meet-and-greets, theatre shows etc.",attraction_wait_time,used_express_pass,express_pass_satisfaction,attraction_staff_service,attraction_overall_experience,shopping_purchase,which store(s) did you visit? (select all that apply),merchandise_spend,merchandise_price_reasonable,merchandise_variety,food_purchase,"if your answer was ""yes"" above, which food outlet(s) did you visit? (select all that apply)",food_variety,food_quality,food_price_reasonable,food_spend,food_wait_time,visit_issues_resolved,overall_staff_service,park_cleanliness,park_seating_availability,restroom_accessibility,overall_satisfaction,which aspect of your visit was the most disappointing? (select all that apply),return_likelihood,recommendation_likelihood,additional_comments
18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",Regular ticket with Express Pass,No,4,Group,"Thrill Rides, Shows",Jan - Mar,Weekdays,3,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,Yes,3.0,4,3,No,"[The Lost World] The Dino-Store, [Far Far Away] Fairy Godmother's Potion Shop",,2,3,Yes,[Hollywood] Mel's Drive-In,3,3,2,$20 - $30,> 10 mins,No issues,4,4,Yes,4,4,"Long wait times, Overcrowded attractions",Maybe,Yes,install water cooler given singapore humid climate
18 - 25,Female,Employed,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Jul - Sep,Weekdays,5,10 - 20 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Enchanted Airways, [Far Far Away] Magic Potion Spin, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",5,No,,5,5,No,,,3,3,No,,5,3,2,,,No issues,5,5,Yes,5,5,,Yes,Yes,everything gd
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,Thrill Rides,Jul - Sep,Weekdays,5,< 5 mins,Not Applicable,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure",2,No,,3,5,Yes,"[Hollywood] Universal Studios Store, [Hollywood] Minion Mart, [Hollywood] Hello Kitty Studio Store, [Hollywood] Candylicious, [Far Far Away] Fairy Godmother's Potion Shop",,4,5,Yes,[The Lost World] Discovery Food Court,3,4,2,$20 - $30,5 - 10 mins,No issues,3,3,No,2,4,"Long wait times, Poor weather conditions, Overcrowded attractions",Yes,Yes,shorter waiting time bench shade around park better crowd management live queue see crowded ride
18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,3,Group,"Thrill Rides, Shows",Oct - Dec,Weekdays,4,10 - 20 mins,Yes,"[New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Donkey Live, [Far Far Away] Shrek 4-D Adventure",2,No,,4,4,No,,,2,3,No,,3,3,2,,,No issues,4,4,Yes,4,4,Long wait times,Yes,Yes,shorter waiting time
18 - 25,Male,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,5,Group,"Thrill Rides, Shows",Jul - Sep,Weekdays,4,5 - 10 mins,Yes,"[Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",4,No,,4,4,No,,,2,4,No,,2,3,2,,,No issues,4,4,No,4,3,"Long wait times, Overcrowded attractions",Maybe,Yes,maybe put aircon waitingqueuing area sheltered area aircon etc said previously
18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,4,Group,Thrill Rides,Apr - Jun,Weekdays,4,10 - 20 mins,Yes,[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON,2,No,,4,4,No,,,3,4,No,,2,2,1,,,No issues,2,4,Yes,3,4,Long wait times,Maybe,Yes,less queue less queue
18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,Special Events (e.g. Halloween Horror Nights),Oct - Dec,Weekdays,4,5 - 10 mins,Yes,[Far Far Away] Happily Ever After,4,No,,4,4,No,,,1,1,No,,3,3,3,$10 - $20,5 - 10 mins,No issues,3,4,Yes,4,3,"Long wait times, Limited dining options, Overcrowded attractions",No,No,lesser wait time accessible manage wait time better
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,3,5 - 10 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy",2,No,,4,3,No,,,3,4,Yes,[Sci-Fi City] Frozen Fuel,3,3,3,< $10,< 5 mins,No issues,4,3,No,3,4,"Long wait times, Overcrowded attractions",Maybe,Yes,shorter queue sheltered walkway improved queue system
18 - 25,Male,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Family,"Thrill Rides, Kid-friendly, Shows, Food and Shopping, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,5,> 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters",4,No,,5,5,Yes,[Hollywood] Universal Studios Store,$20 - $30,2,5,Yes,"[Hollywood] Mel's Drive-In, [Sci-Fi City] Frozen Fuel",5,5,3,$20 - $30,5 - 10 mins,No issues,5,5,No,3,4,"Long wait times, Overcrowded attractions",Maybe,Yes,faster queue time better queue management cheaper dining option promotion ticket occasion
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,Special Events (e.g. Halloween Horror Nights),Oct - Dec,Weekdays,4,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy",2,No,,4,4,Yes,[Hollywood] Universal Studios Store,< $10,4,4,No,,2,2,2,< $10,5 - 10 mins,No issues,4,5,No,4,5,Long wait times,Yes,Yes,shorter waiting time fan shorter waiting time
18 - 25,Female,Student,Singaporean,parents' company ,One-day regular ticket,No,4,Family,"Thrill Rides, Food and Shopping",Oct - Dec,Weekdays,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Magic Potion Spin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure, [Far Far Away] Happily Ever After",3,No,,4,4,No,[Hollywood] Universal Studios Store,,3,4,Yes,[Hollywood] Mel's Drive-In,3,4,2,$10 - $20,> 10 mins,No issues,4,4,No,3,4,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,shorter queue seat think creating appwebsite visitor could see waiting time sure
18 - 25,Male,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,2,Family,"Thrill Rides, Shows",Jan - Mar,Weekdays,5,5 - 10 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Donkey Live",5,No,,5,5,No,[Hollywood] Universal Studios Store,,3,5,Yes,[New York] Loui's NY Pizza Parlour™,5,5,5,$10 - $20,5 - 10 mins,"Yes, issue resolved",5,5,Yes,5,5,"Long wait times, Poor weather conditions",Yes,Yes,lesser wait time shelter rainy season less expensive
18 - 25,Male,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,4,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",3,No,,5,4,Yes,[Hollywood] Universal Studios Store,$20 - $30,3,4,Yes,"[Hollywood] Mel's Drive-In, [Hollywood] Starbucks, [New York] Loui's NY Pizza Parlour™, [Sci-Fi City] Planet Yen",4,4,3,$10 - $20,5 - 10 mins,No issues,4,5,Yes,4,5,Long wait times,Yes,Yes,qr code scanner get queue number dont wait line
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,5,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Donkey Live",5,No,,5,5,No,,,3,5,Yes,[New York] Loui's NY Pizza Parlour™,2,3,2,$20 - $30,> 10 mins,No issues,5,4,No,3,5,"Long wait times, Ride breakdowns, Poor weather conditions, Limited dining options, Overcrowded attractions",Yes,Yes,shorter waiting time
18 - 25,Female,Student,Tourist,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,3,Group,Thrill Rides,Jan - Mar,Weekdays during Public/School Holidays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Shrek 4-D Adventure",4,No,,3,3,No,[Far Far Away] Fairy Godmother's Potion Shop,,2,2,Yes,[New York] Loui's NY Pizza Parlour™,3,3,1,$20 - $30,> 10 mins,No issues,4,4,Yes,4,4,"Ride breakdowns, Poor weather conditions, Overcrowded attractions",Yes,No,making sure dont break fan cool u
26 - 35,Female,Employed,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Shows, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekends,5,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",2,No,,4,4,Yes,"[Hollywood] Universal Studios Store, [Hollywood] Minion Mart, [Far Far Away] Fairy Godmother's Potion Shop",$20 - $30,5,4,Yes,"[Hollywood] Starbucks, [The Lost World] Jungle Bites",1,2,1,$10 - $20,> 10 mins,No issues,5,5,Yes,5,4,"Long wait times, Ride breakdowns, Poor weather conditions, Limited dining options, Overcrowded attractions",Yes,Yes,shorter wait time special event food variety cheaper price point special event merchandise new item shorter wait time
18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,Yes,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,3,< 5 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy",2,No,,5,4,No,,,2,5,No,,4,4,2,,,No issues,5,4,Yes,4,4,"Long wait times, Overcrowded attractions",Yes,Yes,shorter queue fan air condition thrill ride
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,No,5,Group,"Thrill Rides, Kid-friendly, Shows",Jul - Sep,Weekdays,5,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",3,No,,4,4,No,,,4,5,No,,3,3,3,,,No issues,5,5,Yes,5,5,"Long wait times, Overcrowded attractions",Maybe,Yes,shorter waiting time shorter wait time
18 - 25,Female,Student,Singaporean,Resort World Sentosa Website,One-day regular ticket,No,5,Group,"Thrill Rides, Kid-friendly, Shows",Oct - Dec,Weekdays,4,< 5 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [New York] Lights, Camera, Action!, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Raptor Encounter with Blue, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Happily Ever After",2,No,,3,4,No,,,2,4,Yes,"[Sci-Fi City] Frozen Fuel, [The Lost World] Jungle Bites",2,4,2,< $10,< 5 mins,No issues,4,4,No,3,4,"Long wait times, Poor weather conditions, Overcrowded attractions",Maybe,No,shorter waiting time sheltered cool waiting area waiting area outdoors exposed heat enough seat improvement mentioned previous question
18 - 25,Female,Student,Singaporean,"Third Party Vendor (e.g. Klook, Trip.com)",One-day regular ticket,Yes,4,Group,"Thrill Rides, Kid-friendly, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [Ancient Egypt] Treasure Hunters, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Happily Ever After",2,No,,3,3,No,[Hollywood] The Dark Room,,4,3,Yes,[Sci-Fi City] Star Dots,3,3,3,$10 - $20,5 - 10 mins,"Yes, issue resolved",4,3,No,3,3,"Long wait times, Ride breakdowns, Poor weather conditions, Overcrowded attractions",Maybe,Yes,faster queueing time resting area shorter waiting time
18 - 25,Female,Student,Singaporean,Physically at the entrance,One-day regular ticket,No,5,Group,Thrill Rides,Oct - Dec,Weekdays,4,5 - 10 mins,Yes,"[New York] Sesame Street Spaghetti Chase, [Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] Accelerator, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Dino-Soarin, [The Lost World] Jurassic Park Rapid Adventure, [The Lost World] WaterWorld, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",2,No,,4,4,No,,,2,3,Yes,"[Hollywood] Starbucks, [Sci-Fi City] Frozen Fuel",2,2,2,$10 - $20,5 - 10 mins,No issues,4,4,No,3,4,"Long wait times, Limited dining options, Overcrowded attractions",Yes,Yes,shorter queue time longer ride build new attraction cheaper ticket price
18 - 25,Female,Student,Singaporean,Carousell Sellers,One-day regular ticket,Yes,5,Group,"Thrill Rides, Special Events (e.g. Halloween Horror Nights)",Oct - Dec,Weekdays during Public/School Holidays,4,10 - 20 mins,Yes,"[Sci-Fi City] Battlestar Galatica: HUMAN vs CYLON, [Sci-Fi City] TRANSFORMERS The Ride: The Ultimate 3D Battle, [Sci-Fi City] TRANSFORMERS: Voices of Cybertron, [Ancient Egypt] Revenge of the Mummy, [The Lost World] Canopy Flyer, [The Lost World] Jurassic Park Rapid Adventure, [Far Far Away] Enchanted Airways, [Far Far Away] Puss In Boots' Giant Journey, [Far Far Away] Shrek 4-D Adventure",3,No,,4,4,No,,,2,4,Yes,"[New York] Loui's NY Pizza Parlour™, [Sci-Fi City] Star Dots",3,4,3,$10 - $20,5 - 10 mins,No issues,4,4,No,4,4,"Long wait times, Ride breakdowns, Limited dining options, Overcrowded attractions",Maybe,Yes,shorter queue time affordable eating option bigger park ride reduce price especially half ride show closed
